Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,User CTCSS,Tx Power,Skip,Step,Clock Shift,Comment,
1,162.55000,162.55000, ,Simplex,FM,NOAA WX1,Large,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,NOAA WX1,
2,162.40000,162.40000, ,Simplex,FM,NOAA WX2,Large,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,NOAA WX2,
3,162.47500,162.47500, ,Simplex,FM,NOAA WX3,Large,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,NOAA WX3,
4,162.42500,162.42500, ,Simplex,FM,NOAA WX4,Large,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,NOAA WX4,
5,162.45000,162.45000, ,Simplex,FM,NOAA WX5,Large,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,NOAA WX5,
6,162.50000,162.50000, ,Simplex,FM,NOAA WX6,Large,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,NOAA WX6,
7,162.52500,162.52500, ,Simplex,FM,NOAA WX7,Large,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,NOAA WX7,
8,161.65000,161.65000, ,Simplex,FM,NOAA WX#,Large,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,NOAA WX#,
9,161.77500,161.77500, ,Simplex,FM,NOAA WX#,Large,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,NOAA WX#,
10,163.27500,163.27500, ,Simplex,FM Narrow,NOAA WX#,Large,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,NOAA WX#,
11,146.42000,146.42000, ,Simplex,FM,HAM 42,Small,None,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,HAM 42,
12,146.46000,146.46000, ,Simplex,FM,HAM 46,Small,None,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,HAM 46,
13,146.52000,146.52000, ,Simplex,FM,HAM 52,Small,None,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,HAM 52,
14,146.53000,146.53000, ,Simplex,FM,HAM 53,Small,None,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,HAM 53,
15,146.55000,146.55000, ,Simplex,FM,HAM 55,Small,None,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,HAM 55,
16,146.72500,146.72500, ,Simplex,FM,HAM 725,Small,None,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,HAM 725,
17,146.48500,146.48500, ,Simplex,FM,HAM 485,Small,None,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,HAM 485,
18,446.03000,446.03000, ,Simplex,FM,HAM U3,Small,None,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,HAM U3,
19,444.80000,449.80000,5.00 MHz,Plus,FM,W3QV,Small,None,88.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Roxborough",
20,145.13000,144.53000,600 kHz,Minus,FM,WB3JOE,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Paoli",
21,145.19000,144.59000,600 kHz,Minus,FM,N3ZA,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Souderton",
22,145.25000,144.65000,600 kHz,Minus,FM,N3SLC,Small,Tone,114.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Jennersville  Penn Township - at PA Routes 1 &amp; 796 ",
23,145.31000,144.71000,600 kHz,Minus,FM,W3AI,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Perkasie",
24,145.33000,144.73000,600 kHz,Minus,FM,W3HJ,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Hilltown",
25,145.35000,144.75000,600 kHz,Minus,FM,WA3EPA,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Doylestown",
26,145.37000,144.77000,600 kHz,Minus,FM,NJ2CH,Small,T Sql,91.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Cherry Hill",
27,145.41000,144.81000,600 kHz,Minus,FM,KD3WT,Small,Tone,127.3 Hz,023,300 Hz,High,Off,5 kHz,Off,"Philadelphia",
28,146.62500,146.02500,600 kHz,Minus,FM,N2KEJ,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Woodstown Salem County EOC",
29,146.68500,146.08500,600 kHz,Minus,FM,WM3PEN,Small,T Sql,146.2 Hz,023,300 Hz,High,Off,5 kHz,Off,"Philadelphia University of Pennsylvania",
30,146.71500,146.11500,600 kHz,Minus,FM,WA3UTI,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Meadowbrook",
31,146.73000,146.13000,600 kHz,Minus,FM,W3DRA,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Wilmington",
32,146.76000,146.16000,600 kHz,Minus,FM,W3PHL,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Valley Forge Schuylkill Township",
33,146.79000,146.19000,600 kHz,Minus,FM,W3SK,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Southampton",
34,146.79000,146.19000,-600 kHz,Plus,FM,N3TS,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Richboro",
35,146.83500,146.23500,600 kHz,Minus,FM,AA3E,Small,Tone,88.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Eagleville",
36,146.86500,146.26500,600 kHz,Minus,FM,K2UK,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Pine Hill",
37,146.88000,146.28000,600 kHz,Minus,FM,W3PHL,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Hilltown Township",
38,146.89500,146.29500,600 kHz,Minus,FM,K2EOC,Small,T Sql,91.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Voorhees",
39,146.92500,146.32500,600 kHz,Minus,FM,WB2YGO,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Willingboro",
40,146.94000,146.34000,600 kHz,Minus,FM,W3KG,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Media Fair Acres Geriatric Center",
41,146.94000,146.34000,600 kHz,Minus,FM,W3PHL,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"West Chester",
42,146.94000,146.34000,600 kHz,Minus,FM,W3AEC,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Media",
43,146.95500,146.35500,600 kHz,Minus,FM,WA3UYJ,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Wilmington",
44,146.97000,146.37000,600 kHz,Minus,FM,W3PHL,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Feasterville-Trevose Lower Southampton Township",
45,146.98500,146.38500,600 kHz,Minus,FM,W3GMS,Small,T Sql,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Parkesburg",
46,147.00000,147.60000,600 kHz,Plus,FM,WA3ZID,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Warrington",
47,147.03000,147.63000,600 kHz,Plus,FM,W3QV,Small,T Sql,91.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Philadelphia",
48,147.06000,147.66000,600 kHz,Plus,FM,WB3JOE,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Newtown Square",
49,147.09000,147.69000,600 kHz,Plus,FM,K3DN,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Warminster Township Building",
50,147.12000,147.72000,600 kHz,Plus,FM,KC2DUX,Small,T Sql,123.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Woodbury",
51,147.16500,147.76500,600 kHz,Plus,FM,K3JJO,Small,T Sql,162.2 Hz,023,300 Hz,High,Off,5 kHz,Off,"Horsham",
52,147.18000,147.78000,600 kHz,Plus,FM,W2MMD,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Pitman",
53,147.19500,147.79500,600 kHz,Plus,FM,W3DI,Small,Tone,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Newtown Square",
54,147.21000,147.81000,600 kHz,Plus,FM,K3ZMC,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Earlville",
55,147.22500,147.82500,600 kHz,Plus,FM,WA2WUN,Small,T Sql,192.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Runnemede",
56,147.27000,147.87000,600 kHz,Plus,FM,N3KZ,Small,T Sql,77.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Bucktown South Coventry Township",
57,147.33000,147.93000,600 kHz,Plus,FM,WA3RYQ,Small,None,88.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Hatfield",
58,147.36000,147.96000,600 kHz,Plus,FM,W3UER,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Darby Mercy Fitzgerald Hospital",
59,147.39000,147.99000,600 kHz,Plus,FM,W3HJ,Small,Tone,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Hilltown",
60,440.15000,445.15000,5.00 MHz,Plus,FM,K3CX,Small,T Sql,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Philadelphia",
61,441.15000,446.15000,5.00 MHz,Plus,FM,K3DN,Small,T Sql,88.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Abington Township Abington Hospital",
62,441.70000,446.70000,5.00 MHz,Plus,FM,W3WAN,Small,T Sql,74.4 Hz,023,300 Hz,High,Off,5 kHz,Off,"Roxborough",
